time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.24,0.0380335,0.00703966,0.350335,0.0486161,0.00190602,0.0174921,0.998663,0.290509,0.234195,0.111693,0.731259,1.53933,-0.972696,-0.0915475,0.799211,-1.59807,-0.14249,0.718515,-1.19666,0.0107966,0.40936,-1.06052,-0.10449,0.729509,-1.2182,-0.0171975,3.33223,-13.614,-1.19623,-0.315175,-1.00018,-1.84844,-7.86799,14.0864,-2.10937,-2.79983,3.61029,0,1,0,1,
0.26,0.044111,0.0121022,0.352155,0.0538228,0.016308,0.00615001,0.998398,0.317802,0.27088,0.0709446,0.212136,1.37569,-1.11725,-0.0697988,0.830661,-1.85228,-0.159082,0.712302,-1.22376,-0.0230977,0.38215,-1.0099,-0.142633,0.664979,-1.13622,1.08743,1.57248,-12.7108,-0.829593,-0.310655,-1.35495,-1.69471,-1.36048,2.53064,-1.90716,-3.22651,4.09893,0,1,1,1,
0.28,0.050768,0.0178278,0.353199,0.0524553,0.0263549,-0.00546324,0.99826,0.348452,0.300503,0.0341459,-0.586242,0.668332,-1.05062,-0.0307582,0.823601,-2.00194,-0.163666,0.707649,-1.23659,-0.0456594,0.382326,-0.996639,-0.168814,0.612757,-1.05975,1.95203,-0.352991,-7.4828,-0.229197,-0.232617,-0.641479,-1.12808,0.00875575,0.663189,-1.30904,-2.61112,3.82342,0,1,1,1,
0.3,0.0580715,0.0240752,0.353547,0.0415692,0.026719,-0.0151739,0.998663,0.382457,0.323065,0.0012972,-1.70141,-0.566817,-0.795672,0.00743412,0.795305,-1.98783,-0.151292,0.706335,-1.21413,-0.0498844,0.423845,-1.03033,-0.175973,0.595224,-1.00808,1.90962,-1.41477,0.705318,0.618717,-0.0657077,1.12312,-0.211252,2.07595,-1.68449,-0.357974,-0.87665,2.58329,0,1,1,1,
0.32,0.0660791,0.0307055,0.353267,0.0194436,0.0139793,-0.0218423,0.999475,0.418392,0.338901,-0.0291607,-2.71005,-1.75331,-0.53994,0.0608435,0.692622,-1.78814,-0.119546,0.707353,-1.13982,-0.0320377,0.518931,-1.11935,-0.160969,0.628642,-0.996597,2.67047,-5.13416,9.98467,1.58727,0.0508887,3.71565,0.892337,4.75433,-4.45128,0.750215,1.6709,0.574371,0,1,1,1,
0.34,0.0748105,0.0375887,0.352386,-0.00975383,-0.00773317,-0.0264884,0.999572,0.454831,0.348347,-0.0587867,-3.13741,-2.34368,-0.402684,0.120494,0.555332,-1.47214,-0.0770645,0.705549,-1.02236,-0.000740419,0.649764,-1.2376,-0.131676,0.704395,-1.0304,2.98255,-6.86449,15.8002,2.12409,-0.0901934,5.87311,1.56486,6.54166,-5.9121,1.46464,3.78766,-1.6903,0,1,1,0,
0.36,0.0842757,0.0445968,0.350921,-0.0400725,-0.032499,-0.0299781,0.998218,0.491773,0.351405,-0.0875809,-2.95126,-2.36155,-0.293952,0.174048,0.42724,-1.13146,-0.0352636,0.696557,-0.877631,0.032468,0.79288,-1.35682,-0.0783683,0.852076,-1.28471,2.67769,-6.40463,17.0336,2.09004,-0.449596,7.23625,1.66042,7.15577,-5.96104,2.66539,7.38404,-12.7152,0,1,1,0,
0.38,0.0944848,0.0516022,0.348889,-0.0654316,-0.0544822,-0.0320421,0.995853,0.529219,0.348072,-0.115543,-2.14969,-1.81156,-0.0968397,0.208636,0.392156,-0.948872,-0.00537756,0.680503,-0.726323,0.0565704,0.925656,-1.45596,-0.00764296,0.981843,-1.61927,1.72941,-1.7542,9.12953,1.4943,-0.802736,7.56535,1.20512,6.6388,-4.95708,3.53627,6.48835,-16.7279,0,1,1,0,
0.4,0.105448,0.0584771,0.346305,-0.0798994,-0.0679068,-0.0313882,0.993992,0.567169,0.338351,-0.142674,-0.754863,-0.680522,0.261611,0.214663,0.458672,-0.977833,0.00167161,0.666084,-0.602522,0.0617713,1.02422,-1.51888,0.0643979,1.02177,-1.88997,0.301355,3.3258,-1.448,0.352458,-0.720946,6.19008,0.260042,4.92844,-3.14611,3.60205,1.99661,-13.5352,1,1,1,0,
0.42,0.117175,0.0650775,0.34322,-0.0796082,-0.0684744,-0.0267939,0.994111,0.605628,0.319805,-0.164031,0.656719,0.59006,0.643251,0.189967,0.518101,-1.04531,-0.0210814,0.670382,-0.550216,0.0432284,1.06943,-1.53608,0.11006,0.980008,-2.02628,-1.23481,2.97147,-3.37404,-1.13765,0.214908,2.61528,-0.927142,2.26036,-0.860058,2.28312,-2.08833,-6.81536,1,1,1,0,
