time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,-0.000871559,-0.080314039,0.160628077,-0.039351753,3.321761986,-6.643523973,0.039351753,3.321761986,-6.643523973,0.000871559,-0.080314039,0.160628077
0.016666667,-0.000000000,0.000000000,0.300404590,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.045520138,0.000000000,0.000000000,-0.000000000,0.010802783,0.785202655,-1.570405309,-0.011473171,0.841903922,-1.683807843,0.011473171,0.841903922,-1.683807843,-0.010802783,0.785202655,-1.570405309,-0.001520401,-0.140812205,0.281624410,-0.617928108,16.076072370,-32.152144739,0.617928108,16.076072370,-32.152144739,0.001520401,-0.140812205,0.281624410
0.033333333,-0.000000000,0.000000000,0.301416316,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.072856342,0.000000000,0.000000000,-0.000000000,0.010766629,0.781847482,-1.563694963,-0.031414912,1.322410301,-2.644820602,0.031414912,1.322410301,-2.644820602,-0.010766629,0.781847482,-1.563694963,1.254675137,19.051374936,-38.102749871,0.022596080,-1.933114129,3.866228257,-0.022596080,-1.933114129,3.866228257,-1.254675137,19.051374936,-38.102749871
0.050000000,-0.000000000,0.000000000,0.302732113,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.082008613,0.000000000,0.000000000,-0.000000000,0.052625287,1.420248486,-2.840496972,-0.010719969,0.777466784,-1.554933568,0.010719969,0.777466784,-1.554933568,-0.052625287,1.420248486,-2.840496972,-0.002788597,-0.263533783,0.527067566,0.555986691,-11.608761584,23.217523169,-0.555986691,-11.608761584,23.217523169,0.002788597,-0.263533783,0.527067566
0.066666667,-0.000000000,0.000000000,0.304048915,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.072976951,0.000000000,0.000000000,-0.000000000,0.010673675,0.773063022,-1.546126045,-0.012882023,0.935451581,-1.870903163,0.012882023,0.935451581,-1.870903163,-0.010673675,0.773063022,-1.546126045,-1.259610431,-19.517781822,39.035563643,-0.063316667,4.651029665,-9.302059329,0.063316667,4.651029665,-9.302059329,1.259610431,-19.517781822,39.035563643
0.083333333,-0.000000000,0.000000000,0.305063656,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.045761355,0.000000000,0.000000000,-0.000000000,0.010638273,0.769655758,-1.539311517,-0.012830524,0.932501106,-1.865002212,0.012830524,0.932501106,-1.865002212,-0.010638273,0.769655758,-1.539311517,1.329172841,19.597032580,-39.194065160,0.067739222,-5.015238914,10.030477828,-0.067739222,-5.015238914,10.030477828,-1.329172841,19.597032580,-39.194065160
0.100000000,-0.000000000,0.000000000,0.305473271,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,0.000361826,0.000000000,0.000000000,-0.000000000,0.054979437,1.426297442,-2.852594883,-0.010624049,0.768276951,-1.536553902,0.010624049,0.768276951,-1.536553902,-0.054979437,1.426297442,-2.852594883,-0.000012465,-0.001205830,0.002411659,-0.244749853,7.924360360,-15.848720719,0.244749853,7.924360360,-15.848720719,0.000012465,-0.001205830,0.002411659
0.116666667,-0.000000000,0.000000000,0.305075605,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.045057804,-0.000000000,-0.000000000,0.000000000,0.010637857,0.769615564,-1.539231128,-0.020988853,1.196646452,-2.393292903,0.020988853,1.196646452,-2.393292903,-0.010637857,0.769615564,-1.539231128,-1.329197232,-19.599368423,39.198736847,-0.315028223,12.926125939,-25.852251878,0.315028223,12.926125939,-25.852251878,1.329197232,-19.599368423,39.198736847
0.133333333,-0.000000000,0.000000000,0.304072143,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.072333704,-0.000000000,-0.000000000,0.000000000,0.010672862,0.772985161,-1.545970322,-0.021124989,1.199147816,-2.398295631,0.021124989,1.199147816,-2.398295631,-0.010672862,0.772985161,-1.545970322,0.459422668,15.006519284,-30.013038567,0.308101648,-12.578710356,25.157420712,-0.308101648,-12.578710356,25.157420712,-0.459422668,15.006519284,-30.013038567
0.150000000,-0.000000000,0.000000000,0.302765280,1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.081465874,-0.000000000,-0.000000000,0.000000000,0.025951946,1.269832874,-2.539665747,-0.010718798,0.777356106,-1.554712213,0.010718798,0.777356106,-1.554712213,-0.025951946,1.269832874,-2.539665747,0.002769084,0.261773787,-0.523547575,-0.308328068,3.694961867,-7.389923735,0.308328068,3.694961867,-7.389923735,-0.002769084,0.261773787,-0.523547575
